date,heure,rang,nb_gagnants,gain_unitaire_eur
17/01/2026,19h,7,9516,9.5
17/01/2026,19h,6L,10884,2.8
17/01/2026,19h,6,53447,1.4
17/01/2026,19h,0L,126212,1.1
24/01/2026,13h,10,0,0
24/01/2026,13h,9L,7,1000
24/01/2026,13h,9,24,500
24/01/2026,13h,8L,180,100
24/01/2026,13h,8,837,50
24/01/2026,13h,7L,1897,14
24/01/2026,13h,7,9330,7
24/01/2026,13h,6L,9439,2
24/01/2026,13h,6,46588,1
24/01/2026,13h,0L,89649,1
24/01/2026,14h,10,0,0
24/01/2026,14h,9L,6,1000
24/01/2026,14h,9,29,500
24/01/2026,14h,8L,200,100
24/01/2026,14h,8,939,50
24/01/2026,14h,7L,1788,14
24/01/2026,14h,7,9524,7
24/01/2026,14h,6L,8778,2
24/01/2026,14h,6,44754,1
24/01/2026,14h,0L,81036,1
24/01/2026,15h,10,0,0
24/01/2026,15h,9L,2,1000
24/01/2026,15h,9,16,500
24/01/2026,15h,8L,117,100
24/01/2026,15h,8,527,50
24/01/2026,15h,7L,1409,14
24/01/2026,15h,7,7028,7
